ID,"К-во филиалов, шт","Товарный ассортимент, шт","К-во групп покупаемых товаров, шт","К-во специализаций покупаемых товаров, шт","Кол-во типов покупаемых товаров, шт","Сумма покупок за все время, руб","Общее к-во покупок за все время, шт",К-во дней сотрудничества,К-во дней с последней покупки,Ранг популярности групп товаров,Ранг популярности спец товаров,Ранг популярности типов товаров,"Средняя стоимость товара, руб",Дней взаимодействия в месяц,DBScan,KMeans
3463,1,3.8501476017100584,3,3,6,11.237721087949545,5.318119993844216,1637,270,2.853211009174312,4.944954128440367,59.56880733944954,5.919601094105329,1.0,5,5
3464,1,0.0,1,1,1,8.38022733634308,1.3862943611198906,1,505,3.0,5.0,30.0,6.993932975223189,1.0,4,3
3465,1,1.791759469228055,1,1,6,8.310778922055905,2.3978952727983707,1,1598,4.0,4.0,46.22222222222222,5.912883649257534,1.0,1,2
3466,1,1.6094379124341003,1,1,4,10.229902238270597,4.59511985013459,1,1577,4.0,4.0,53.85714285714285,5.634782388136006,1.0,1,2
3467,1,3.4965075614664802,2,3,10,16.491732279160836,12.560844279322755,1081,371,3.995575221238938,2.6548672566371683,51.05309734513274,3.93088799983808,4.0,0,5
3468,1,1.6094379124341003,1,1,3,13.637082033476867,8.066835314417336,1416,3,4.0,4.0,40.13207547169812,5.57024671905953,1.0,1,6
3469,1,0.0,1,1,1,9.946098665628844,3.58351893845611,1,1586,4.0,4.0,54.0,6.362579727172735,1.0,1,2
3470,1,2.4849066497880004,1,1,4,13.145418611196986,7.310550158534422,1286,151,4.0,4.0,45.5,5.834868452662563,1.0,1,6
3471,1,1.0986122886681098,2,2,2,9.549883602550379,1.0986122886681098,1,1040,2.333333333333333,2.6666666666666665,56.0,8.45127131388227,1.0,2,4
3472,1,3.9512437185814275,3,4,17,12.837244231182849,9.526318313582811,1758,120,3.9432739059967594,2.2917341977309564,51.97568881685575,3.3109259176000383,2.0,5,5
3473,2,2.5649493574615367,3,4,7,10.983294626326874,6.621405651764134,75,165,3.727272727272727,2.575757575757576,54.0,4.361888974562739,2.0,0,7
3474,1,3.9512437185814275,3,3,3,11.519347698211764,6.63200177739563,1508,386,3.05,5.62,61.1,4.887345920816134,2.0,5,5
3476,1,2.6390573296152584,2,4,6,12.23331405595442,5.6131281063880705,27,1656,3.263157894736842,5.0,54.78947368421053,6.620185949566348,1.0,2,0
3477,1,2.995732273553991,2,2,8,12.102902673323646,6.5722825426940075,428,1274,3.932692307692308,4.134615384615385,41.75961538461539,5.5306201306296385,1.0,2,0
3478,1,1.791759469228055,1,1,6,8.899826288274673,2.995732273553991,1,1451,4.0,4.0,46.22222222222222,5.904094014720682,1.0,1,2
3480,1,0.6931471805599453,1,1,1,8.422882511944996,1.3862943611198906,1,1492,4.0,1.0,54.0,7.036588150825105,1.0,1,2
3481,1,0.0,1,1,1,6.214608098422191,0.6931471805599453,1,507,4.0,4.0,49.0,5.521460917862246,1.0,1,3
3482,1,1.9459101490553132,1,1,1,8.665599403335937,1.9459101490553132,1,260,2.0,1.0,53.0,6.719689254280623,1.0,6,4
3483,1,0.6931471805599453,1,1,1,8.875974714957286,2.0794415416798357,47,319,4.0,4.0,54.0,6.796533173277449,1.0,1,3
3484,1,3.258096538021482,2,3,8,14.215044712688329,7.583756300707112,205,50,3.855421686746988,4.253012048192771,50.59036144578313,6.631288411981217,2.0,2,3
3485,1,1.6094379124341003,1,2,4,13.522391907399607,7.208600337960199,1491,386,4.0,1.7894736842105263,55.48684210526316,6.313791569439409,1.0,1,6
3486,1,3.4965075614664802,3,5,11,14.253502602730986,8.551014739891748,1883,9,3.955128205128205,3.951923076923077,52.1698717948718,5.702487862839238,1.0,5,5
3487,1,0.6931471805599453,1,2,2,10.33486144396825,1.3862943611198906,709,666,3.0,4.0,43.0,8.94856708284836,1.0,0,4
3488,1,2.1972245773362196,1,1,5,13.461895399532352,8.163656176168432,988,906,4.0,4.0,47.986577181208055,5.298239223363921,1.0,1,6
3489,1,1.791759469228055,2,2,2,7.911653876577808,1.791759469228055,1,1477,2.333333333333333,2.6666666666666665,56.0,6.1198944073497525,1.0,2,4
