ds,y
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,2024126.43
2020-03-17,3456965.86
2020-03-18,6484864.88
2020-03-19,3377897.2
2020-03-20,1824072.27
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,2308104.86
2020-03-24,2004720.4
2020-03-25,2782141.17
2020-03-26,2176671.7
2020-03-27,892685.11
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,2109851.89
2020-04-07,210629.26
2020-04-08,2499909.8899999997
2020-04-09,338172.05
2020-04-10,33026.56
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,390532.27
2020-04-14,58651.33
2020-04-15,89457.79000000001
2020-04-16,-337893.9
2020-04-17,519069.02999999997
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,356872.77
2020-04-21,117250.48
2020-04-22,300044.79
2020-04-23,93090.30000000002
2020-04-24,354529.7
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,881938.39
2020-04-28,323779.04
2020-04-29,586126.65
2020-04-30,214450.97
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,316751.79
2020-05-07,474419.48
2020-05-08,907227.36
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,713164.29
2020-05-13,97850.04000000001
2020-05-14,773246.16
2020-05-15,268972.67
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,1118148.57
2020-05-19,584415.37
2020-05-20,730379.46
2020-05-21,955285.61
2020-05-22,487899.98
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,1478049.02
2020-05-26,450419.72000000003
2020-05-27,854647.5
2020-05-28,304126.95
2020-05-29,1068648.87
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,804757.88
2020-06-02,617083.37
2020-06-03,1894725.56
2020-06-04,1052466.8
2020-06-05,882720.63
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,1029030.16
2020-06-09,800913.32
2020-06-10,1634016.79
2020-06-11,550226.02
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,775531.11
2020-06-16,1762016.1
2020-06-17,1329615.24
2020-06-18,952087.59
2020-06-19,405593.13
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,1565066.09
2020-06-23,975128.4
2020-06-24,0.0
2020-06-25,1573854.9
2020-06-26,1078222.22
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,2294245.91
2020-06-30,791930.0
2020-07-01,0.0
2020-07-02,854818.97
2020-07-03,1208156.88
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,1699293.37
2020-07-07,702826.72
2020-07-08,2698865.96
2020-07-09,343866.75
2020-07-10,556998.11
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,1660193.07
2020-07-14,1218420.58
2020-07-15,1928136.87
2020-07-16,862446.96
2020-07-17,621512.86
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,1091496.42
2020-07-21,1603228.52
2020-07-22,1411468.8499999999
2020-07-23,1144282.06
